Plot,FT,Direction,PME,TotalRootBiomass,PercentNecro,SRL,SRA,D,RTD,Tips,rN,rC,rC_percent,rN_percent,rAl,rCa,rFe,rK,rMg,rP,BA,BA_ECM,rC_N,rN_P,rC_P
W08,Mature secondary,SE,15.4125412541254,1.88,0.143085106382979,25.1595878623188,303.981612318841,0.4116,0.271153161482993,2.46862056897398,10.7,415.8,41.58,1.07,13.3065274151436,3.59530026109661,3.61723237597911,1.59007832898172,1.55718015665796,0.355613577023499,20.339774375,0,45.2986996817294,66.5608123557794,3015.11824947639
W09,Mature secondary,C,87.5935498804105,4.572,0.22419072615923,29.4861105769231,320.491826923077,0.3751,0.300741368476274,1.87412242820211,15.3,447.1,44.71,1.53,5.5248,5.61,2.3652,2.3808,1.374,0.4488,25.0850283,0,34.0642057544639,75.413961038961,2568.91668559029
W09,Mature secondary,NW,121.294317735816,2.221,0.157586672669968,30.8684530892449,333.882494279176,0.3701,0.241176672420437,1.50827802183783,18.8,456.4,45.64,1.88,12.7368,4.5624,4.5708,3.9432,3.576,0.5472,25.0850283,0,28.2991124417596,76.001984126984,2150.78869460635
W09,Mature secondary,NE,73.0926111668338,3.539,0.579824809268155,24.5277416666667,248.2284375,0.35155,0.345015345015345,2.79582647211776,13.1,426.7,42.67,1.31,8.6028,4.9488,3.2616,4.044,1.7508,0.3756,25.0850283,0,37.9696309055431,77.1540772858664,2929.51183740209
W09,Mature secondary,SW,85.3686058174523,4.952,0.125201938610662,16.3569548611111,232.8640625,0.47025,0.321991490032871,1.90277245098467,10,467.8,46.78,1,8.51525423728814,4.08542372881356,3.02779661016949,2.06508474576271,1.17966101694915,0.362033898305085,25.0850283,0,54.5312239800167,61.103196896736,3332.03211587097
W09,Mature secondary,SE,85.6005516549649,2.488,0.0176848874598071,28.8137833333333,254.8828125,0.30615,0.367764495634248,2.77704297349041,13.2,444.8,44.48,1.32,7.22172523961661,2.91757188498403,2.18913738019169,2.06389776357827,0.765495207667732,0.357827476038339,25.0850283,0,39.2803976484243,81.6043698979592,3205.45209944095
W10,Mature secondary,C,29.6778711484594,5.062,0.172659028052153,14.7976002747253,232.803708791209,0.52405,0.289911441916723,1.94542284022696,11.9,487.4,48.74,1.19,6.71168316831683,6.19009900990099,2.18138613861386,1.51366336633663,2.23485148514851,0.335049504950495,33.96750845,0,47.7445266199735,78.5689864066192,3751.23906299517
W10,Mature secondary,NW,NA,2.785,0.199640933572711,15.5913098086124,283.381818181818,0.59745,0.213605862521274,1.66483649057963,16.4,384.9,38.49,1.64,13.284,3.2316,3.9648,2.5116,1.2036,0.4908,33.96750845,0,27.3582989784935,73.9183839795086,2022.28124891848
W10,Mature secondary,NE,42.7941176470588,2.168,0.227859778597786,18.5151026785714,238.618973214286,0.436,0.335302362835402,2.06668874835039,13.4,416.2,41.62,1.34,5.4252,3.678,1.98,1.6944,1.7652,0.4104,33.96750845,0,36.2061466191109,72.2288359788359,2615.12782557745
W10,Mature secondary,SW,57.6543209876543,2.855,0.0956217162872154,17.7137347883598,229.812103174603,0.4359,0.307240496847887,2.05310706261278,12.1,426.8,42.68,1.21,5.24869565217391,4.90304347826087,2.25913043478261,1.59652173913043,1.20260869565217,0.285652173913044,33.96750845,0,41.1172507758686,93.7046205696891,3852.87638282152
W10,Mature secondary,SE,58.9052287581699,2.225,0.240898876404494,17.7642083333333,280.574583333333,0.5336,0.235534013652411,2.70911789537691,10.7,432.8,43.28,1.07,10.0896,5.1264,3.2472,4.6908,1.9332,0.4752,33.96750845,0,47.1507388702561,49.8104557479556,2348.5997919803
W17,Mature secondary,C,34.5158906134516,6.391,0.295728368017525,36.0717142857143,311.666103896104,0.3152,0.354704568023833,3.29589816529696,10.4,492.8,49.28,1.04,2.8275,4.4115,1.4145,0.8925,0.939,0.3015,23.0648075,0,55.236021264331,76.306088604596,4214.84473276139
W17,Mature secondary,NW,18.9992257065428,9.565,0.353789858860429,15.7085292207792,254.506601731602,0.54535,0.225218998721936,1.56607047036048,16.6,473.7,47.37,1.66,9.51,3.4044,4.5144,2.0976,1.272,0.3612,23.0648075,0,33.2644483011144,101.665480145547,3381.84610830953
